;tmdb_id;imdb_rating;imdb_votes
984;137;8.0;714,340
988;1933;7.6;404,205
989;793;7.7;231,717
987;29154;7.3;22,932
990;283995;7.6;792,363
991;9693;7.9;545,343
995;76600;7.5;533,485
994;309809;7.6;69,000
996;3309;7.9;29,508
998;618588;7.0;33,493
999;42987;7.8;14,606
1000;13002;6.8;3,866
1001;364111;7.3;6,707
1003;38757;7.7;513,682
1002;466282;7.0;128,554
1005;15137;7.5;28,895
1007;11321;7.6;320,877
1008;819;7.5;244,665
1006;804095;7.5;128,076
1012;642;8.0;231,870
1011;976;8.0;37,956
1009;476968;6.6;10,330
1014;180299;7.9;135,723
1015;39324;7.8;6,440
1018;63;;
1038;16219;6.5;11,103
963;76341;8.1;1,164,488
986;329865;7.9;810,200
1076;335984;8.0;712,147
1100;277834;7.6;413,216
992;9444;7.1;141,791
927;37247;8.0;296,344
