;tmdb_id;imdb_rating;imdb_votes
564;5178;7.9;873
565;72548;7.9;3,180
566;91875;7.7;24,911
568;5303;;
571;513;8.1;31,868
572;34899;6.9;19,855
574;1618;8.5;54,554
573;94810;8.6;9,211
576;3215;8.1;6,890
578;1406;8.6;123,541
580;61339;7.8;2,603
582;99047;7.2;3,742
581;67178;;
584;60573;8.5;174,434
585;1778;6.2;18,328
587;103516;8.3;64,126
589;89905;8.4;101,860
590;82591;7.4;11,423
588;155292;7.7;20,040
592;80623;;
595;1104;8.7;272,472
599;1413;7.9;351,399
596;45815;8.3;2,731
598;1835;7.8;17,173
601;108978;8.0;262,597
605;91363;7.3;153,876
606;60808;7.6;20,152
607;155537;8.1;124,911
602;211684;7.5;32,483
610;64706;7.5;8,201
609;88974;7.7;4,024
612;80752;7.6;105,567
613;33907;8.7;231,296
614;799;8.7;25,606
615;93812;8.1;59,402
645;2288;8.3;627,134
603;91239;7.4;204,226
570;1705;8.4;263,928
671;95057;7.8;46,585
600;72844;8.5;304,389
579;95;8.3;164,922
660;92967;;
618;1274;8.7;157,399
567;1414;8.7;92,923
632;873;8.3;45,039
550;96203;6.7;2,068
563;33765;7.7;23,774
637;15621;8.6;129,987
586;17572;6.7;6,687
617;11721;5.8;1,134
549;2913;;
548;128883;8.3;23,184
604;129600;7.0;5,130
651;195670;6.5;15,348
664;135340;7.7;13,102
681;32605;7.8;16,363
679;1848;6.2;8,538
577;46195;;
677;12598;7.9;19,632
611;1719;8.0;19,319
659;46883;7.2;281
594;39518;7.1;5,412
678;6673;7.8;16,571
575;65329;7.7;6,627
555;1813;8.7;46,018
616;85844;6.8;3,864
562;71731;7.3;206
583;60956;7.4;3,783
676;17438;8.0;3,694
638;68814;;
569;87539;6.2;2,871
653;44856;8.6;25,961
620;35016;7.3;5,568
642;135238;7.3;14,543
591;74094;;
639;214603;8.0;3,991
597;12406;5.3;749
593;57041;N/A;62
608;33841;;
619;70540;7.3;2,674
621;1402;8.1;1,141,049
625;64320;7.7;7,009
622;72002;7.2;25,538
624;44217;8.5;615,018
623;71790;7.2;37,497
627;86430;7.6;76,559
626;112613;8.4;13,752
628;71578;8.2;109,278
629;958;8.1;8,799
630;100883;7.8;87,194
631;111499;;
634;70796;8.7;150,879
633;76148;8.5;68,596
636;26453;8.2;24,968
635;97219;7.9;2,386
640;59375;6.4;10,505
641;44264;7.4;11
643;713;8.8;75,917
644;67744;8.6;365,290
646;45016;8.6;79,518
648;1606;6.5;50,763
647;128306;;
649;1411;8.5;195,475
650;196614;;
652;73946;;
655;63639;8.5;182,737
654;117581;7.5;87,450
658;2352;7.1;51,441
656;18350;5.8;231
657;7217;7.6;1,855
661;31654;7.4;23,788
662;679;7.4;8,249
665;46786;8.1;121,477
663;203085;8.1;39,923
666;113962;7.8;71,825
667;107171;4.0;352
669;194583;7.1;28,198
670;74577;8.0;233,146
672;903;8.5;62,885
674;48865;7.5;56,327
673;78722;;
675;89393;7.3;25,317
680;78191;7.7;324,857
682;326;8.4;38,166
683;72509;7.2;2,465
685;79086;8.1;23,224
687;65334;7.5;16,720
686;71740;7.0;174
688;71728;7.7;131,234
690;110534;8.2;9,929
692;63351;8.7;499,956
694;252;7.5;43,371
668;202555;8.5;32,940
693;61068;8.6;47,492
695;66958;7.6;4,950
696;63247;8.4;547,946
697;32910;8.1;9,465
699;79699;7.6;441
702;4018;8.2;37,853
703;815;8.7;68,142
704;196454;7.6;69,421
705;110695;8.6;83,950
706;13023;8.5;4,210
708;58981;6.0;8,212
711;71915;8.0;118,904
709;33428;6.0;3,351
712;76669;7.2;94,770
713;71912;7.9;592,495
715;90260;7.5;77,072
722;2290;8.1;73,749
718;64757;;
719;4625;8.4;20,093
717;94028;8.1;61,019
720;46296;8.5;265,330
723;76231;7.5;25,567
724;97175;6.8;61,674
727;38974;6.1;19,961
726;226637;7.6;25,884
730;3322;8.7;111,547
729;75123;7.9;6,730
728;78102;8.4;12,289
733;4546;8.8;156,982
731;75775;;
735;4556;8.4;274,279
736;93741;7.5;11,833
738;65495;8.6;94,204
737;101591;7.4;7,160
740;46511;8.4;52,884
741;120911;7.9;113,702
743;62455;;
746;253;8.4;96,928
732;14853;8.1;3,504
747;42912;8.2;3,120
748;1425;8.6;546,022
749;46849;8.4;33,336
